85 x 70
X,  ,  ,  ,  ,  ,  , X, X, X, X,  ,  ,  ,  ,  ,  ,
 ,  ,  ,  , X,  ,  ,  , X, X,  ,  ,  ,  ,  ,  , X,
 ,  ,  , X,  , X,  , X, X,  ,  ,  ,  ,  ,  , X, X,
 ,  ,  ,  , X,  ,  ,  , X, X,  ,  ,  ,  ,  ,  , X,
X,  ,  ,  ,  ,  ,  , X, X, X, X,  ,  ,  ,  ,  ,  ,
 , X,  ,  ,  ,  , X, X,  ,  , X, X,  ,  ,  ,  ,  ,
X,  , X,  ,  ,  ,  ,  ,  , X, X, X, X,  ,  ,  ,  ,
 , X,  , X,  ,  ,  ,  , X, X,  ,  , X, X,  ,  ,  ,
 ,  , X,  , X,  ,  ,  ,  ,  ,  , X, X, X, X,  ,  ,
 ,  ,  , X,  , X,  ,  ,  ,  , X, X,  ,  , X, X,  ,
 ,  ,  ,  , X,  , X,  ,  ,  ,  ,  ,  , X, X, X, X,
 ,  ,  ,  ,  , X,  , X,  ,  ,  ,  , X, X,  ,  , X,
 ,  ,  ,  ,  ,  , X,  , X,  ,  ,  ,  ,  ,  , X, X,
 ,  ,  ,  ,  ,  ,  , X,  , X,  ,  ,  ,  , X, X,  ,
